,UNITID,CIPCODE,CREDLEV,DEBT_ALL_STGP_ANY_MEAN,EARN_MDN_HI_1YR,EARN_MDN_HI_2YR,EARN_NE_MDN_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_NE_3YR,employment_rate,rate_over85
1314,101295.0,5106,2,11855.0,34557.0,36437.0,38476.0,46.0,58.0,0.7931034482758621,0
1318,101295.0,5108,2,15326.0,36782.0,35772.0,35232.0,47.0,60.0,0.7833333333333333,0
1320,101295.0,5109,2,18976.0,41371.0,42682.0,44348.0,81.0,89.0,0.9101123595505618,1
1322,101295.0,5110,2,18767.0,34942.0,33993.0,33572.0,19.0,24.0,0.7916666666666666,0
1326,101295.0,5138,2,18527.0,47854.0,48988.0,51402.0,105.0,125.0,0.84,0
1339,101301.0,2401,2,11454.0,20652.0,21052.0,20910.0,22.0,43.0,0.5116279069767442,0
1347,101301.0,5138,2,19652.0,60556.0,56087.0,59282.0,45.0,50.0,0.9,1
1353,101365.0,1102,3,35828.0,53952.0,62260.0,68083.0,39.0,43.0,0.9069767441860465,1
1356,101365.0,1110,3,39908.0,47053.0,48432.0,54240.0,49.0,58.0,0.8448275862068966,0
1357,101365.0,2203,2,34717.0,31003.0,27823.0,27909.0,21.0,37.0,0.5675675675675675,0
1359,101365.0,4301,2,25923.0,44628.0,42682.0,51759.0,22.0,33.0,0.6666666666666666,0
1360,101365.0,4301,3,30635.0,52717.0,58943.0,58672.0,62.0,72.0,0.8611111111111112,1
1364,101365.0,5107,1,25856.0,24006.0,25580.0,24644.0,135.0,348.0,0.3879310344827586,0
1365,101365.0,5107,2,35973.0,27775.0,27841.0,27688.0,213.0,364.0,0.5851648351648352,0
1366,101365.0,5107,3,44284.0,38542.0,36195.0,41384.0,117.0,166.0,0.7048192771084337,0
1369,101365.0,5109,1,12188.0,42258.0,53775.0,55294.0,22.0,32.0,0.6875,0
1370,101365.0,5109,2,28247.0,40143.0,33077.0,40667.0,58.0,71.0,0.8169014084507042,0
1371,101365.0,5138,2,33829.0,58918.0,57389.0,61080.0,212.0,263.0,0.8060836501901141,0
1374,101365.0,5139,1,25991.0,39628.0,39009.0,49029.0,26.0,46.0,0.5652173913043478,0
1376,101365.0,5202,2,38259.0,26467.0,32569.0,32034.0,44.0,70.0,0.6285714285714286,0
1377,101365.0,5202,3,41383.0,46040.0,50047.0,52436.0,123.0,159.0,0.7735849056603774,0
1382,101365.0,5203,3,40860.0,39469.0,41937.0,47511.0,38.0,49.0,0.7755102040816326,0
1406,101435.0,5202,3,32209.0,35665.0,41937.0,44331.0,110.0,135.0,0.8148148148148148,0
1471,101480.0,1312,3,25779.0,34792.0,36413.0,36723.0,84.0,98.0,0.8571428571428571,1
1481,101480.0,1901,3,28568.0,27513.0,23456.0,29103.0,25.0,36.0,0.6944444444444444,0
1485,101480.0,2401,3,27420.0,26252.0,29685.0,29471.0,49.0,73.0,0.6712328767123288,0
1487,101480.0,2601,3,21967.0,25746.0,25194.0,34086.0,33.0,48.0,0.6875,0
1494,101480.0,4201,3,26201.0,27457.0,24615.0,28881.0,26.0,40.0,0.65,0
1496,101480.0,4301,3,27659.0,29161.0,30499.0,37318.0,80.0,100.0,0.8,0
1504,101480.0,4407,3,25359.0,30556.0,30520.0,32370.0,45.0,63.0,0.7142857142857143,0
1506,101480.0,4499,3,30922.0,50026.0,49058.0,48186.0,27.0,32.0,0.84375,0
1516,101480.0,5007,3,24178.0,20143.0,22824.0,28834.0,20.0,31.0,0.6451612903225806,0
1517,101480.0,5009,3,24263.0,34611.0,36560.0,40026.0,17.0,18.0,0.9444444444444444,1
1521,101480.0,5138,3,23683.0,58575.0,57874.0,56096.0,210.0,242.0,0.8677685950413223,1
1530,101480.0,5203,3,23015.0,40177.0,37363.0,46155.0,41.0,50.0,0.82,0
