,UNITID,STABBR,HIGHDEG,CONTROL,ADM_RATE_ALL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,COMPL_RPY_3YR_RT
3592,241191,PR,4,2,1.0,12650.0,7250.0,7250.0,29347.0,0.555
3594,241225,PR,4,2,0.98290598290598,11008.0,5522.0,5522.0,22263.0,0.5157232704
3596,241331,PR,4,2,0.94329896907216,19245.0,7434.0,7434.0,41451.0,0.5065502183
3599,241395,PR,4,2,0.87008234217749,15053.0,5443.0,5443.0,22797.0,0.4534482759
3600,241410,PR,4,2,0.87008234217749,15655.0,5545.0,5545.0,22797.0,0.4534482759
3605,241766,PR,4,1,0.5076923076923,10920.0,3370.0,3370.0,25762.0,0.7027027027
3607,241836,PR,4,2,0.62666666666666,14196.0,6200.0,6200.0,21063.0,0.4519906323
3635,243106,PR,3,1,0.89707927677329,11773.0,5570.0,5570.0,24465.0,0.7062937063
3636,243115,PR,3,1,0.55821271239773,15741.0,4940.0,4940.0,25140.0,0.6597510373
3637,243133,PR,3,1,0.7886462882096,10356.0,4970.0,4970.0,31302.0,0.7730496454
3638,243142,PR,3,1,0.44706498951781,17869.0,7410.0,7410.0,28013.0,0.7843137255
3639,243151,PR,3,1,0.48035837353549,14285.0,4790.0,4790.0,27007.0,0.7555555556
3640,243179,PR,3,1,0.49591964846202,18255.0,4980.0,4980.0,27314.0,0.7523809524
3641,243188,PR,3,1,0.62837837837837,18971.0,4970.0,4970.0,21778.0,0.4117647059
3642,243197,PR,4,1,0.49379600420609,18361.0,4870.0,4870.0,41188.0,0.7931034483
3644,243212,PR,3,1,0.48571428571428,13943.0,4970.0,4970.0,27305.0,0.6176470588
3645,243221,PR,4,1,0.50255416593271,14258.0,4940.0,4940.0,32393.0,0.6379310345
3647,243443,PR,4,2,0.61563071297989,18070.0,6120.0,6120.0,27904.0,0.5837104072
3651,243586,PR,4,2,0.87008234217749,14395.0,5443.0,5443.0,22797.0,0.4534482759
3655,243665,VI,4,1,0.98412698412698,15949.0,5235.0,14496.0,39307.0,0.5933333333
3656,243744,CA,4,2,0.03948008869499,70869.0,56169.0,56169.0,106987.0,0.9158699809
3657,243780,IN,4,1,0.68810148731408,22590.0,9992.0,28794.0,68414.0,0.8584158416
3660,243832,PR,4,2,0.62666666666666,13971.0,6200.0,6200.0,21063.0,0.4519906323
3662,244233,FL,3,2,0.85416666666666,26984.0,14355.0,14355.0,31329.0,0.2697044335
3664,244437,GA,2,1,0.99989183732333,15508.0,3360.0,9712.0,44812.0,0.5511649581
3669,245652,NM,4,2,0.62719298245614,47410.0,35710.0,35710.0,41407.0,0.8051948052
3699,247649,VT,4,2,0.52878464818763,79200.0,61490.0,61490.0,29761.0,0.6263736264
3712,248934,VA,4,3,0.82465639316951,27216.0,17479.0,17479.0,39051.0,0.4072433057
3716,250027,PA,2,3,0.9090909090909,14868.0,10970.0,10970.0,29716.0,0.5786516854
3729,260813,CO,3,3,0.58333333333333,42415.0,20590.0,20590.0,68568.0,0.7419354839
3741,262086,CA,4,2,0.92857142857142,30522.0,12480.0,12480.0,64748.0,0.562248996
3742,262129,FL,4,1,0.74181818181818,19193.0,6916.0,29944.0,49341.0,0.768115942
3760,363934,AZ,4,3,0.91180461329715,28871.0,18966.0,18966.0,48808.0,0.6787148594
3803,366711,CA,4,1,0.93300443300443,23821.0,7727.0,19607.0,59495.0,0.7619047619
3821,368443,TN,3,3,0.48742746615087,30778.0,21969.0,21969.0,26472.0,0.5909090909
3822,368452,TN,3,3,0.46777163904235,26560.0,19150.0,19150.0,31180.0,0.4183006536
3901,377555,WA,4,1,0.57020325789246,21519.0,11950.0,39780.0,74063.0,0.8370859213
3902,377564,WA,4,1,0.57020325789246,21190.0,12196.0,40026.0,74063.0,0.8370859213
3948,383996,NM,2,1,0.325,11506.0,1372.0,2644.0,36355.0,0.6925418569
3960,385619,FL,4,2,0.60421545667447,37668.0,18920.0,18920.0,44919.0,0.4123222749
3962,386472,FL,4,2,0.94095092024539,30443.0,14200.0,14200.0,34238.0,0.4517045455
4013,406547,FL,3,2,0.85416666666666,26984.0,14355.0,14355.0,31329.0,0.2697044335
4040,408729,PA,2,3,0.94117647058823,14897.0,10582.0,10582.0,26688.0,0.4796747967
4051,409698,CA,4,1,0.92808697386794,15203.0,7218.0,19098.0,54470.0,0.7328170378
4077,414878,IN,4,2,0.78499520613614,22876.0,9576.0,9576.0,54719.0,0.7253414264
4093,417327,FL,2,2,0.8,29605.0,14355.0,14355.0,30427.0,0.2540983607
4104,417734,MO,3,2,0.33333333333333,31750.0,12142.0,12142.0,53513.0,0.7328244275
4189,421708,AZ,3,3,0.99377593360995,32616.0,23066.0,23066.0,31302.0,0.3667400881
4192,421832,NC,3,3,0.46551724137931,29944.0,16600.0,16600.0,32493.0,0.2739726027
4193,421841,NY,2,3,0.89759036144578,52451.0,35350.0,35350.0,31242.0,0.5833333333
4206,426314,FL,4,2,0.72428128523111,20262.0,10748.0,10748.0,82012.0,0.7685950413
4217,428170,FL,2,3,0.92342342342342,34648.0,21346.0,21346.0,35578.0,0.3097261568
4250,431600,PA,1,2,0.8125,35634.0,15545.0,15545.0,63831.0,0.7868852459
4257,432524,DE,2,2,0.97972972972972,34970.0,25770.0,25770.0,35919.0,0.6052631579
4267,433536,LA,4,2,0.94095092024539,29995.0,14200.0,14200.0,34238.0,0.4517045455
4268,433660,FL,4,1,0.8920619554695,17425.0,6118.0,25162.0,52268.0,0.7227214377
4303,436818,CT,4,1,0.60840937480151,19056.0,15878.0,38546.0,76076.0,0.8497723824
4304,436827,CT,4,1,0.60840937480151,20336.0,15878.0,38546.0,76076.0,0.8497723824
4305,436836,CT,4,1,0.60840937480151,22106.0,15888.0,38556.0,76076.0,0.8497723824
4339,439455,IL,1,3,0.84210526315789,29478.0,19985.0,19985.0,46801.0,0.1989795918
4376,440828,OR,4,1,0.88774552146317,26591.0,11037.0,31452.0,60461.0,0.7619753086
4394,441487,MO,2,2,0.7,27527.0,18240.0,18240.0,36090.0,0.5748031496
4402,441636,OH,4,3,1.0,32439.0,14532.0,14532.0,26491.0,0.4444444444
4414,441900,NV,4,1,0.79024390243902,22649.0,6075.0,19440.0,52368.0,0.689119171
4415,441937,CA,4,1,0.93000865426222,24033.0,6817.0,18697.0,55921.0,0.752617801
4424,442356,PA,4,2,0.49087221095334,40246.0,29922.0,29922.0,61157.0,0.8292682927
4458,443261,SC,2,3,1.0,36188.0,21320.0,21320.0,25365.0,0.4304635762
4488,444255,TN,3,3,0.48742746615087,32913.0,22348.0,22348.0,26472.0,0.5909090909
4527,445188,CA,4,1,0.86597344655129,30144.0,13657.0,43411.0,63365.0,0.7377963738
4532,445267,MO,4,2,0.98970588235294,22070.0,6720.0,6720.0,42616.0,0.6573604061
4540,445708,NC,3,2,0.85630666000428,51561.0,36274.0,36274.0,41886.0,0.8025682183
4554,446048,FL,4,2,0.64048582995951,39343.0,24610.0,24610.0,44873.0,0.7052023121
4570,446385,CA,3,3,0.82989690721649,46058.0,25650.0,25650.0,32350.0,0.6206896552
4588,447263,UT,3,3,0.86285714285714,31479.0,12068.0,12068.0,52443.0,0.5106035889
4598,447689,GA,3,1,0.93034825870646,17382.0,4948.0,13734.0,48225.0,0.5816023739
4672,449612,LA,2,3,0.62711864406779,27651.0,14575.0,14575.0,42677.0,0.6380952381
4741,451352,NC,1,3,1.0,35733.0,21320.0,21320.0,26636.0,0.3382663848
4782,454184,NY,3,2,0.43818001978239,58268.0,37690.0,37690.0,48900.0,0.8617021277
4783,454227,IL,4,3,0.77777777777777,32437.0,20250.0,20250.0,82055.0,0.6646356943
4784,454236,OH,3,3,0.77777777777777,27089.0,19469.0,19469.0,82055.0,0.6646356943
4785,454245,AZ,3,3,0.77777777777777,38273.0,19982.0,19982.0,82055.0,0.6646356943
4895,456959,MN,3,1,0.73447121097547,26023.0,13032.0,13032.0,65087.0,0.8189108783
4903,457129,FL,3,3,0.77777777777777,33299.0,19469.0,19469.0,82055.0,0.6646356943
5029,459842,WI,4,2,0.94095092024539,29623.0,14200.0,14200.0,34238.0,0.4517045455
5030,459851,WI,4,2,0.94095092024539,30873.0,14200.0,14200.0,34238.0,0.4517045455
5048,460349,RI,4,2,0.85630666000428,25973.0,13365.0,13365.0,41886.0,0.8025682183
5068,460871,VA,3,3,0.77777777777777,34644.0,19982.0,19982.0,82055.0,0.6646356943
5149,463056,CT,4,1,0.60840937480151,20297.0,15868.0,38536.0,76076.0,0.8497723824
5150,464226,AZ,4,2,0.53168376584188,47357.0,33000.0,33000.0,48846.0,0.6164179104
5151,466921,MO,3,3,0.77777777777777,32412.0,19469.0,19469.0,82055.0,0.6646356943
5152,466930,TX,3,3,0.77777777777777,35369.0,19469.0,19469.0,82055.0,0.6646356943
5195,475477,FL,2,2,0.85416666666666,26984.0,14355.0,14355.0,31329.0,0.2697044335
